Altium Designer Pick and Place Locations
C:\Users\hisham\AppData\Local\TempReleases\Snapshot\1\Assembly\Pick Place\Pick Place for ATmega328Playground.csv

========================================================================================================================
File Design Information:

Date:       01/09/22
Time:       09:05
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Center-X(mil)","Center-Y(mil)","Layer","Rotation"
"*1","11820.804mil","3589.000mil","TopLayer","90"
"*2","9092.000mil","3681.001mil","TopLayer","0"
"*3","9064.000mil","5143.938mil","TopLayer","0"
"C1","10470.472mil","3581.016mil","TopLayer","180"
"C2","6408.480mil","3553.230mil","TopLayer","0"
"C3","6408.480mil","3378.610mil","TopLayer","0"
"C4","8217.000mil","2676.190mil","TopLayer","0"
"C5","8217.000mil","2795.000mil","TopLayer","0"
"C6","10467.980mil","3744.708mil","TopLayer","180"
"C7","7922.420mil","2957.380mil","TopLayer","180"
"C8","7703.480mil","2957.064mil","TopLayer","180"
"C9","8217.002mil","2958.550mil","TopLayer","0"
"C10","6408.480mil","3203.992mil","TopLayer","0"
"C11","7589.990mil","3300.000mil","TopLayer","180"
"C12","8927.016mil","2688.000mil","TopLayer","180"
"C13","7589.992mil","3640.044mil","TopLayer","180"
"C14","11292.000mil","4060.000mil","TopLayer","0"
"C15","11290.000mil","4301.000mil","TopLayer","0"
"C16","11836.000mil","4054.000mil","TopLayer","180"
"C17","11835.000mil","4298.000mil","TopLayer","180"
"C18","11703.002mil","4723.000mil","TopLayer","0"
"C19","6188.482mil","4506.686mil","TopLayer","0"
"C20","10954.712mil","2891.292mil","TopLayer","180"
"C21","11132.230mil","2891.292mil","TopLayer","0"
"C22","10150.000mil","2930.668mil","TopLayer","180"
"C23","9412.520mil","2975.338mil","TopLayer","0"
"C24","7011.000mil","5579.132mil","TopLayer","180"
"C25","6605.000mil","5139.536mil","TopLayer","180"
"C26","7011.000mil","5422.800mil","TopLayer","0"
"C27","6144.356mil","5298.802mil","TopLayer","0"
"C28","7515.630mil","4149.000mil","TopLayer","0"
"C29","7515.630mil","4044.000mil","TopLayer","0"
"C30","8136.000mil","4089.000mil","TopLayer","180"
"D1","10793.520mil","3726.989mil","TopLayer","180"
"D2","8865.972mil","3109.804mil","TopLayer","180"
"D3","9066.472mil","3109.804mil","TopLayer","0"
"D4","6608.480mil","3902.466mil","TopLayer","180"
"D5","10495.000mil","3154.998mil","TopLayer","180"
"D6","9267.000mil","2812.668mil","TopLayer","180"
"D7","9524.796mil","2812.668mil","TopLayer","0"
"D8","8525.462mil","4266.996mil","TopLayer","0"
"D9","8517.914mil","4572.000mil","TopLayer","0"
"D10","8908.000mil","4266.996mil","TopLayer","0"
"D11","8900.452mil","4572.000mil","TopLayer","0"
"D12","9276.000mil","4260.996mil","TopLayer","0"
"D13","9268.452mil","4572.000mil","TopLayer","0"
"D14","9650.000mil","4263.996mil","TopLayer","0"
"D15","9642.452mil","4572.000mil","TopLayer","0"
"D16","7198.464mil","5888.802mil","TopLayer","0"
"ESP-01","11493.000mil","4968.000mil","TopLayer","90"
"F1","11474.000mil","3040.692mil","TopLayer","0"
"FB1","6392.732mil","3718.004mil","TopLayer","180"
"FB2","11294.000mil","2881.448mil","TopLayer","0"
"J1","6262.064mil","4302.520mil","TopLayer","90"
"J2","10076.740mil","3137.000mil","BottomLayer","180"
"J3","7578.000mil","5284.000mil","TopLayer","270"
"J4","6221.000mil","4705.000mil","BottomLayer","180"
"J5","9077.536mil","5110.000mil","BottomLayer","180"
"J6","9077.000mil","5453.000mil","BottomLayer","180"
"J7","7812.250mil","5642.399mil","BottomLayer","180"
"J8","7812.750mil","5552.601mil","BottomLayer","0"
"J9","9587.750mil","5772.601mil","BottomLayer","0"
"J10","9587.250mil","5682.399mil","BottomLayer","180"
"L1","11410.008mil","3658.480mil","TopLayer","180"
"M1","6302.000mil","5751.000mil","TopLayer","0"
"M2","11687.000mil","5751.000mil","TopLayer","0"
"M3","6302.000mil","2750.000mil","TopLayer","0"
"M4","11687.000mil","2750.000mil","TopLayer","0"
"Q1","10507.536mil","2848.804mil","TopLayer","180"
